ID,English,Chinese,German,Arabic
210101,First Floor,保藏库（一楼）,Lagerhaus,اﻟﻣﺧﺯن، اﻟﻁﺎﺑﻖ اﻷول
210102,Fourth Floor,保藏库（四楼）,Lagerhaus,اﻟﻣﺧﺯن، اﻟﻁﺎﺑﻖ اﻟﺭاﺑﻊ
210103,Seventh Floor,保藏库（七楼）,Lagerhaus,اﻟﻣﺧﺯن، اﻟﻁﺎﺑﻖ اﻟﺳﺎﺑﻊ
210104,Dark Chamber Entrance,暗室门前,Eingang zur dunklen Kammer,ﻣﺩﺧﻝ اﻟﻐﺭﻓﺔ اﻟﻣﻅﻠﻣﺔ
210106,Back Section,保藏库（内区）,Lagerhaus,اﻟﻣﺧﺯن، اﻟﺟﺯء اﻟﺧﻠﻔﻲ
210107,Loft,保藏库（阁楼）,Lagerhaus,اﻟﻣﺧﺯن، اﻟﻌﻠﻳّﺔ
210201,West Rampart,西边城墙,Westlicher Schutzwall,اﻟﺳﻭر اﻟﻐﺭﺑﻲ
220000,Garden of Deep Purple,深紫花园,Tiefvioletter Garten,اﻟﺣﺩﻳﻘﺔ اﻟﺑﻧﻔﺳﺟﻳﺔ اﻟﻌﻣﻳﻘﺔ
220001,Stone Coffin Fissure,石棺大洞,Riss im Steinsarg,ﺻﺩع اﻟﺗﺎﺑﻭت اﻟﺣﺟﺭي
220002,Fissure Cross,大洞的十字记号,Kreuz im Riss,ﺗﻘﺎﻁﻊ اﻟﺻﺩع
220003,Fissure Waypoint,大洞中段,Wegpunkt im Riss,وﺟﻬﺔ اﻟﺻﺩع
220004,Fissure Depths,大洞深处,Tiefen des Risses,أﻋﻣﺎق اﻟﺻﺩع
250000,Finger Birthing Grounds,指头产房,Fingergeburtsstätte,أراﺿﻲ وﻻدة اﻷﺻﺎﺑﻊ
280000,Discussion Chamber,对谈室,Debattierraum,ﻏﺭﻓﺔ اﻟﻣﻧﺎﻗﺷﺎت
280001,Manse Hall,府邸大厅,Halle des Pfarrhauses,ﻗﺎﻋﺔ اﻟﻘﺻﺭ
280002,Midra's Library,米德拉的书库,Midras Bibliothek,ﻣﻛﺗﺑﺔ ﻣﺩرا
280003,Second Floor Chamber,,Kammer im ersten Stock,ﻏﺭﻓﺔ اﻟﻁﺎﺑﻖ اﻟﺛﺎﻧﻲ
400000,Fog Rift Catacombs,雾谷地下墓地,Nebelriss-Katakomben,ﺳﺭادﻳﺏ ﺻﺩع اﻟﺿﺑﺎب
400100,Scorpion River Catacombs,蝎河地下墓地,Katakomben am Skorpionsfluss,ﺳﺭادﻳﺏ ﻧﻬﺭ اﻟﻌﻘﺭب
400200,Darklight Catacombs,驱暗地下墓地,Dunkellichtkatakomben,ﺳﺭادﻳﺏ اﻟﻧﻭر اﻟﻣﻅﻠﻡ
410000,Belurat Gaol,贝瑞特监牢,Kerker von Belurat,ﺳﺟﻥ ﺑﻳﻠﻭرات
410100,Bonny Gaol,波尼监牢,Kerker von Bonny,ﺳﺟﻥ ﺑﻭﻧﻲ
410200,Lamenter's Gaol,喟叹监牢,Kerker des Klägers,ﺳﺟﻥ ﻻﻣﻳﻧﺗﺭ
420000,Ruined Forge Lava Intake,,Lavazulauf der ruinierten Schmiede,ﻣﺩﺧﻝ اﻟﺣﻣﻡ ﻷﻧﻘﺎض اﻟﻣﺻﻬﺭ
420200,Ruined Forge of Starfall Past,古铁陨石锻造遗迹,Ruinierte Sternfallschmiede,أﻧﻘﺎض اﻟﻣﺻﻬﺭ ﻟﻣﺎﺿﻲ اﻟﻧﻳﺯك
420300,Taylew's Ruined Forge,泰乌尔锻造遗迹,Ruinierte Schmiede von Taylew,أﻧﻘﺎض ﻣﺻﻬﺭ ﺗﺎﻳﻠﻭ
430000,Rivermouth Cave,河尾洞窟,Höhle an der Flussmündung,ﻛﻬﻑ ﻣﺻﺏ اﻟﻧﻬﺭ
430100,Dragon's Pit,龙洞,Drachengrube,ﺣﻔﺭة اﻟﺗﻧﻳﻥ
430101,Endstation,,Drachengrube,ﻧﻬﺎﻳﺔ ﺣﻔﺭة اﻟﺗﻧﻳﻥ
680000,Gravesite Plain,墓地平原,Grabfeld-Ebene,ﺳﻬﻝ اﻟﻣﻘﺑﺭة
680001,Scorched Ruins,火吻废墟,Versengte Ruinen,اﻷﻧﻘﺎض اﻟﻣﺣﺗﺭﻗﺔ
680002,Three-Path Cross,三叉口的十字记号,Drei-Wege-Kreuzung,اﻟﺗﻘﺎﻁﻊ ﺛﻼﺛﻲ اﻟﻣﺳﺎرات
680003,Main Gate Cross,正门前方的十字记号,Kreuz am Haupttor,ﺗﻘﺎﻁﻊ اﻟﺑﻭاﺑﺔ اﻟﺭﺋﻳﺳﻳﺔ
680004,Endstation,,Klippenstraße,ﻧﻬﺎﻳﺔ ﻁﺭﻳﻖ اﻟﺟﺭف
680005,,大桥北方,Große Brücke im Norden,اﻟﺟﺳﺭ اﻟﻌﻅﻳﻡ، اﻟﺷﻣﺎل
681000,Ellac River Cave,艾拉克河洞窟,Höhle an der Ellac,ﻛﻬﻑ ﻧﻬﺭ إﻳﻼك
681001,Pillar Path Cross,通柱坡的十字记号,Kreuz am Säulengang,ﺗﻘﺎﻁﻊ ﻣﺳﺎر اﻟﺭﻛﻳﺯة
681002,Pillar Path Waypoint,通柱坡中段,Wegpunkt am Säulengang,وﺟﻬﺔ ﻣﺳﺎر اﻟﺭﻛﻳﺯة
681003,Castle Front,城的前方,Vorderseite des Schlosses,واﺟﻬﺔ اﻟﻘﻠﻌﺔ
682000,Castle Ensis Checkpoint,恩希斯城（关卡）,Kontrollpunkt von Schloss Ensis,وﺟﻬﺔ ﻗﻠﻌﺔ إﻧﺳﻳﺱ
682001,Castle-Lord's Chamber,城主的房间,Kammer des Schlossherren,ﻏﺭﻓﺔ ﻟﻭرد اﻟﻘﻠﻌﺔ
682002,Ensis Moongazing Grounds,恩希斯赏月地,Observatorium von Ensis,أراﺿﻲ ﻣﺭاﻗﺑﻲ اﻟﻘﻣﺭ ﻹﻧﺳﻳﺱ
683000,Ellac River Downstream,艾拉克河下游,Unterlauf der Ellac,ﻣﺻﺏ ﻧﻬﺭ إﻳﻼك
683001,Cerulean Coast,青蓝海岸,Himmelblaues Ufer,اﻟﺳﺎﺣﻝ اﻟﻼزوردي
683002,Cerulean Coast West,青蓝海岸西边,Westliches himmelblaues Ufer,ﻏﺭب اﻟﺳﺎﺣﻝ اﻟﻼزوردي
683003,The Fissure,大洞,Der Riss,اﻟﺻﺩع
683004,Finger Ruins of Rhia,利亚指头遗迹,Fingerruinen von Rhia,أﻧﻘﺎض اﻷﺻﺎﺑﻊ ﻟﺭﻳﺎ
683005,Cerulean Coast Cross,青蓝海岸的十字记号,Kreuz am himmelblauen Ufer,ﺗﻘﺎﻁﻊ اﻟﺳﺎﺣﻝ اﻟﻼزوردي
684000,Grand Altar of Dragon Communion,龙飨大祭坛,Großer Altar der Drachenkommunion,ﻣﺫﺑﺢ ﻗﺭﺑﺎن اﻟﺗﻧﻳﻥ اﻟﻛﺑﻳﺭ
684001,Charo's Hidden Grave,卡罗隐藏墓地,Charos verstecktes Grab,ﻣﻘﺑﺭة ﺗﺷﺎرو اﻟﺧﻔﻳﺔ
685000,Foot of the Jagged Peak,尖刺山的山脚,Fuß des Klingengipfels,ﺳﻔﺢ اﻟﻘﻣﺔ اﻟﻣﺗﻌﺭﺟﺔ
685001,Jagged Peak Mountainside,尖刺山（中段）,Berghang des Klingengipfels,ﺟﺎﻧﺏ ﺟﺑﻝ اﻟﻘﻣﺔ اﻟﻣﺗﻌﺭﺟﺔ
685002,Jagged Peak Summit,尖刺山（山顶）,Spitze des Klingengipfels,ذروة اﻟﻘﻣﺔ اﻟﻣﺗﻌﺭﺟﺔ
685003,Rest of the Dread Dragon,狂龙之席,Der Ruheort des grausigen Drachens,ﻣﻌﻘﻝ اﻟﺗﻧﻳﻥ اﻟﻣﺧﻳﻑ
686000,Abyssal Woods,谷底森林,Abgrundwald,اﻟﻐﺎﺑﺔ اﻟﺳﺣﻳﻘﺔ
686001,Divided Falls,,Verteilte Fälle,اﻟﺷﻼﻻت اﻟﻣﻘﺳﻣﺔ
686002,Forsaken Graveyard,荒废墓地,Verlassener Friedhof,اﻟﻣﻘﺎﺑﺭ اﻟﻣﻧﺑﻭذة
686003,Woodland Trail,林中兽径,Waldpfad,درب اﻟﻐﺎﺑﺔ\n
686004,Church Ruins,废弃教堂,Kirchenruinen,أﻧﻘﺎض اﻟﻛﻧﻳﺳﺔ
690000,Highroad Cross,大道旁的十字记号,Kreuz an der Hochstraße,ﺗﻘﺎﻁﻊ اﻟﻁﺭﻳﻖ اﻟﺳﺭﻳﻊ
690002,Moorth Ruins,穆斯废墟,Ruinen von Moorth,اﻷﻧﻘﺎض ﻟﻣﻭرث
690003,Bonny Village,波尼村,Bonny-Dorf,ﻗﺭﻳﺔ ﺑﻭﻧﻲ
690004,Bridge Leading to the Village,,Brücke zum Dorf,اﻟﺟﺳﺭ اﻟﻣﺅدي إﻟﻰ اﻟﻘﺭﻳﺔ
690005,Church District Highroad,教区大道,Hochstraße zum Kirchenbezirk,اﻟﻁﺭﻳﻖ اﻟﺳﺭﻳﻊ ﻟﻣﻧﻁﻘﺔ اﻟﻛﻧﻳﺳﺔ
690006,Cathedral of Manus Metyr,玛努斯·美特大教堂,Kathedrale von Manus Metyr,ﻗﻠﻌﺔ ﻣﺎﻧﻭس ﻣﻳﺗﻳﺭ
690007,West,幽影亚坛（西方）,Scadu Altus,ﺳﻛﺎدو أﻟﺗﻭس، اﻟﻐﺭب
690008,South,穆斯大道（南方）,Straße Moorth,ﻁﺭﻳﻖ ﻣﻭرث اﻟﺳﺭﻳﻊ، اﻟﺟﻧﻭب
690009,Fort of Reprimand,惩罚要塞,Festung des Tadels,ﺣﺻﻥ اﻟﺗﺄﻧﻳﺏ
690010,Behind the Fort of Reprimand,惩罚要塞（后方）,Hinter der Festung des Tadels,ﺧﻠﻑ ﺣﺻﻥ اﻟﺗﺄﻧﻳﺏ
690011,Scaduview Cross,远望幽影树的十字记号,Kreuz an der Aussicht von Scadu,ﺗﻘﺎﻁﻊ إﻁﻼﻟﺔ ﺳﻛﺎدو
690012,Ancient Ruins Base,古遗迹下方,Fuß der uralten Ruinen,ﻗﺎﻋﺩة اﻷﻧﻘﺎض اﻟﻌﺗﻳﻘﺔ
690013,Temple Town Ruins,神殿镇废墟,Ruinen der Tempelstadt,أﻧﻘﺎض ﺑﻠﺩة اﻟﻣﻌﺑﺩ
690014,Ravine North,峡谷北方,Klamm im Norden,ﺷﻣﺎل اﻟﻭادي
690016,Castle Watering Hole,城底积水处,Wasserstelle des Schlosses,ﻓﺟﻭة ريّ اﻟﻘﻠﻌﺔ
690017,Recluses' River Upstream,隐者河上游,Oberlauf des Klausnerflusses,ﻣﻧﺑﻊ ﻧﻬﺭ اﻟﻣﻧﻌﺯﻟﻳﻥ
690018,Recluses' River Downstream,隐者河下游,Unterlauf des Klausnerflusses,ﻣﺻﺏ ﻧﻬﺭ اﻟﻣﻧﻌﺯﻟﻳﻥ
692000,Scaduview,望影露台,Aussicht von Scadu,إﻁﻼﻟﺔ ﺳﻛﺎدو
692001,Back Gate,幽影城（后门）,Schattenbergfried,ﺣﺻﻥ اﻟﻅﻝ، اﻟﺑﻭاﺑﺔ اﻟﺧﻠﻔﻳﺔ
693000,Hinterland,隐匿之地,Hinterland,اﻷرض اﻟﻧﺎﺋﻳﺔ
693001,Fingerstone Hill,指岩山丘,Fingersteinhügel,ﺗﻝ ﺻﺧﺭة اﻷﺻﺎﺑﻊ
693002,Hinterland Bridge,隐匿之地（桥边）,Hinterlandbrücke,ﺟﺳﺭ اﻷرض اﻟﻧﺎﺋﻳﺔ
694000,Viaduct Minor Tower,高架桥的小塔,Kleiner Viaduktturm,ﺑﺭج اﻟﺟﺳﺭ اﻟﺻﻐﻳﺭ
694001,East,劳弗古遗迹（东方）,Uralte Ruinen von Rauh,أﻧﻘﺎض راوه اﻟﻌﺗﻳﻘﺔ، ﺷﺭﺎ
694002,West,劳弗古遗迹（西方）,Uralte Ruinen von Rauh,أﻧﻘﺎض راوه اﻟﻌﺗﻳﻘﺔ، ﻏﺭﺑًﺎ
694003,Main Entrance,花蕾教堂（正門口）,Kirche der Knospe,ﻛﻧﻳﺳﺔ اﻟﺑﺭﻋﻡ، اﻟﻣﺩﺧﻝ اﻟﺭﺋﻳﺳﻲ
694004,Grand Stairway,古遗迹（大楼梯）,Uralte Ruinen,اﻷﻧﻘﺎض اﻟﻌﺗﻳﻘﺔ، اﻟﺩرج اﻟﻛﺑﻳﺭ
694005,Church of the Bud,花蕾教堂,Kirche der Knospe,ﻛﻧﻳﺳﺔ اﻟﺑﺭﻋﻡ
696000,Scadutree Base,幽影树的树脚,Fuß des Scadubaums,ﻗﺎﻋﺩة ﺷﺟﺭة ﺳﻛﺎدو
6800800,Miquella's Cross,米凯拉的十字记号,Miquellas Kreuz,ﺻﻠﻳﺏ ﻣﻳﻛﻼ
6800801,Miquella's Cross,米凯拉的十字记号,Miquellas Kreuz,ﺻﻠﻳﺏ ﻣﻳﻛﻼ
6801000,Tower Settlement,“塔之镇”贝瑞特,Belurat,ﺑﻳﻠﻭرات، ﻣﺳﺗﻭﻁﻧﺔ اﻟﺑﺭج
6804400,Abandoned Ailing Village,置病村,Verlassenes leidendes Dorf,اﻟﻘﺭﻳﺔ اﻟﻣﺗﻬﺎﻟﻛﺔ اﻟﻣﻬﺟﻭرة
6804700,Church of Consolation,慰借教堂,Kirche des Trostes,ﻛﻧﻳﺳﺔ اﻟﻣﻭاﺳﺎة
6804701,Church of Benediction,恩惠教堂,Kirche der Segnung,ﻛﻧﻳﺳﺔ اﻟﻣﺑﺎرﻛﺔ
6805000,Scorched Ruins,火吻废墟,Versengte Ruinen,اﻷﻧﻘﺎض اﻟﻣﺣﺗﺭﻗﺔ
6805100,Prospect Town,眺望镇,Stadt Weitblick,ﺑﻠﺩة اﻟﻔﺭص
6805600,Western Nameless Mausoleum,西方无名灵庙,Westliches namenloses Mausoleum,اﻟﺿﺭﻳﺢ اﻟﻐﺭﺑﻲ اﻟﻣﺟﻬﻭل
6805900,Run-Down Traveler's Rest,旅人的破屋,Heruntergekommene Raststätte,اﺳﺗﺭاﺣﺔ اﻟﻣﺳﺎﻓﺭ اﻟﻣﺗﻬﺎﻟﻛﺔ
6805901,Artist's Shack,画家的破屋,Hütte des Künstlers,ﻛﻭخ اﻟﻔﻧﺎن
6806000,Ellac Greatbridge,艾拉克大桥,Große Brücke der Ellac,ﺟﺳﺭ إﻳﻼك اﻟﻌﻅﻳﻡ
6810800,Miquella's Cross,米凯拉的十字记号,Miquellas Kreuz,ﺻﻠﻳﺏ ﻣﻳﻛﻼ
6815700,Suppressing Pillar,镇抚石柱,Säule der Unterdrückung,اﻟﺭﻛﻳﺯة اﻟﻘﺎﻣﻌﺔ
6815901,Elder's Hovel,老者的破屋,Hütte des Ältesten,ﻛﻭخ اﻟﺣﻛﻳﻡ
6820800,Miquella's Cross,米凯拉的十字记号,Miquellas Kreuz,ﺻﻠﻳﺏ ﻣﻳﻛﻼ
6824100,Castle Ensis,恩希斯城,Schloss Ensis,ﻗﻠﻌﺔ إﻧﺳﻳﺱ
6830000,Finger Ruins of Rhia,利亚指头遗迹,Fingerruinen von Rhia,أﻧﻘﺎض اﻷﺻﺎﺑﻊ ﻟﺭﻳﺎ
6830800,Miquella's Cross,米凯拉的十字记号,Miquellas Kreuz,ﺻﻠﻳﺏ ﻣﻳﻛﻼ
6831700,Stone Coffin Fissure,石棺大洞,Riss im Steinsarg,ﺻﺩع اﻟﺗﺎﺑﻭت اﻟﺣﺟﺭي
6835500,Finger Ruins of Rhia,利亚指头遗迹,Fingerruinen von Rhia,أﻧﻘﺎض اﻷﺻﺎﺑﻊ ﻟﺭﻳﺎ
6835600,Southern Nameless Mausoleum,南方无名灵庙,Südliches namenloses Mausoleum,اﻟﺿﺭﻳﺢ اﻟﺟﻧﻭﺑﻲ اﻟﻣﺟﻬﻭل
6835900,Finger-Weaver's Hovel,指头追寻者的破屋,Hütte des Fingerwebers,ﻛﻭخ ﺣﺎﺋﻙ اﻷﺻﺎﺑﻊ
6844900,Grand Altar of Dragon Communion,龙飨大祭坛,Großer Altar der Drachenkommunion,ﻣﺫﺑﺢ ﻗﺭﺑﺎن اﻟﺗﻧﻳﻥ اﻟﻛﺑﻳﺭ
6861800,Midra's Manse,米德拉府邸,Midras Pfarrhaus,ﻗﺻﺭ ﻣﺩرا
6864700,Abandoned Church,废弃教堂,Verlassene Kirche,اﻟﻛﻧﻳﺳﺔ اﻟﻣﻬﺟﻭرة
6870800,Miquella's Cross,米凯拉的十字记号,Miquellas Kreuz,ﺻﻠﻳﺏ ﻣﻳﻛﻼ
6880800,Miquella's Cross,米凯拉的十字记号,Miquellas Kreuz,ﺻﻠﻳﺏ ﻣﻳﻛﻼ
6890800,Miquella's Cross,米凯拉的十字记号,Miquellas Kreuz,ﺻﻠﻳﺏ ﻣﻳﻛﻼ
6900000,Finger Ruins of Miyr,密亚指头遗迹,Fingerruinen von Miyr,أﻧﻘﺎض اﻷﺻﺎﺑﻊ ﻟﻣﺎﻳﺭ
6900800,Miquella's Cross,米凯拉的十字记号,Miquellas Kreuz,ﺻﻠﻳﺏ ﻣﻳﻛﻼ
6900801,Miquella's Cross,米凯拉的十字记号,Miquellas Kreuz,ﺻﻠﻳﺏ ﻣﻳﻛﻼ
6900802,Miquella's Cross,米凯拉的十字记号,Miquellas Kreuz,ﺻﻠﻳﺏ ﻣﻳﻛﻼ
6901300,Shadow Keep,幽影城,Schattenbergfried,ﺣﺻﻥ اﻟﻅﻝ
6904200,Fog Rift Fort,雾谷要塞,Nebelriss-Festung,ﺣﺻﻥ ﺻﺩع اﻟﺿﺑﺎب
6904300,Fort of Reprimand,惩罚要塞,Festung des Tadels,ﺣﺻﻥ اﻟﺗﺄﻧﻳﺏ
6904700,Church of the Crusade,圣战教堂,Kirche des Kreuzzuges,ﻛﻧﻳﺳﺔ اﻟﺣﻣﻠﺔ اﻟﺻﻠﻳﺑﻳﺔ
6904800,Cathedral of Manus Metyr,玛努斯·美特大教堂,Kathedrale von Manus Metyr,ﻗﻠﻌﺔ ﻣﺎﻧﻭس ﻣﻳﺗﻳﺭ
6905200,Temple Town Ruins,神殿镇废墟,Ruinen der Tempelstadt,أﻧﻘﺎض ﺑﻠﺩة اﻟﻣﻌﺑﺩ
6905300,Ruins of Unte,安堤废墟,Ruinen von Unte,أﻧﻘﺎض أوﻧﺗﻲ
6905400,Moorth Ruins,穆斯废墟,Ruinen von Moorth,اﻷﻧﻘﺎض اﻟﻣُﺑﺗﻠَﻌﺔ
6905500,Finger Ruins of Miyr,密亚指头遗迹,Fingerruinen von Miyr,أﻧﻘﺎض اﻷﺻﺎﺑﻊ ﻟﻣﺎﻳﺭ
6905600,Northern Nameless Mausoleum,北方无名灵庙,Nördliches namenloses Mausoleum,اﻟﺿﺭﻳﺢ اﻟﺷﻣﺎﻟﻲ اﻟﻣﺟﻬﻭل
6905601,Eastern Nameless Mausoleum,东方无名灵庙,Östliches namenloses Mausoleum,اﻟﺿﺭﻳﺢ اﻟﺷﺭﻗﻲ اﻟﻣﺟﻬﻭل
6905800,Rabbath's Rise,拉巴斯魔法师塔,Rabbaths Turm,ﻗﻣﺔ راﺑﺎث
6905900,Whipping Hut,软鞭小屋,Peitschenhütte,ﻛﻭخ اﻟﺟَﻠﺩ
6906100,Village of Flies,苍蝇村,Fliegendorf,ﻗﺭﻳﺔ اﻟﺫﺑﺎب
6906800,Bonny Village,波尼村,Bonny-Dorf,ﻗﺭﻳﺔ ﺑﻭﻧﻲ
6920000,Scaduview,望影露台,Aussicht von Scadu,إﻁﻼﻟﺔ ﺳﻛﺎدو
6920001,Scadutree Base,幽影树的树脚,Fuß des Scadubaums,ﻗﺎﻋﺩة ﺷﺟﺭة ﺳﻛﺎدو
6924000,Scadutree Chalice,幽影树圣杯,Scadubaum-Kelch,ﻛﺄس ﺷﺟﺭة ﺳﻛﺎدو
6925900,Albinauric's Shack,白金的破屋,Hütte des Albinaurics,ﻛﻭخ اﻟﻣُﻬﻖ اﻟﺫﻫﺑﻳﻳﻥ
6930000,Finger Ruins of Dheo,狄欧指头遗迹,Fingerruinen von Dheo,أﻧﻘﺎض اﻷﺻﺎﺑﻊ ﻟﺩﻳﻭ
6934600,Shaman Village,巫者村,Schaman-Dorf,ﻗﺭﻳﺔ اﻟﻛﺎﻫﻥ
6935500,Finger Ruins of Dheo,狄欧指头遗迹,Fingerruinen von Dheo,أﻧﻘﺎض اﻷﺻﺎﺑﻊ ﻟﺩﻳﻭ
6940800,Miquella's Cross,米凯拉的十字记号,Miquellas Kreuz,ﺻﻠﻳﺏ ﻣﻳﻛﻼ
6941100,Enir-Ilim,艾尼尔·伊利姆,Enir-Ilim,إﻧﻳﺭ إﻳﻠﻳﻡ
6990800,Miquella's Cross,米凯拉的十字记号,Miquellas Kreuz,ﺻﻠﻳﺏ ﻣﻳﻛﻼ
8020000,Realm of Shadow,幽影之地,Reich der Schatten,ﻣﻣﻠﻛﺔ اﻟﻅﻝ
