ID,NAME,説明 (日本語-japanese),描述 (中文-chinese),Опис (українська-ukrainian),Beschreibung (deutsch-german),Описание (русский-russian),La description (français-french),설명 (한국어-korean),
4420,Freezing Mist,フリージングミスト,冰冻薄雾,얼어붙는 안개,Ледяной туман,Gefrierender Nebel,Brume glaciale,Niebla helada,Névoa Congelante
4430,Carian Greatsword,カリアンの大剣,卡里安巨剑,카리안 대검,Карийский большой меч,Karisches Großschwert,Espadon carien,Gran espada cariana,Espada Grande Carian
4431,Adula Moonblade,アデュラ・ムーンブレード,阿杜拉·月刃,아둘라 문블레이드,Адула Лунный клинок,Adula Mondklinge,Adula Lame de Lune,Adula Hoja Lunar,Adula Lâmina Lunar
4440,Carian Slicer,カリアンスライサー,卡里安切片机,카리안 슬라이서,Карианский слайсер,Karischer Slicer,Trancheuse carienne,Rebanador cariano,Fatiador Cariano
4450,Carian Piercer,カリアン・ピアサー,卡里安穿孔机,카리안 피어서,Кэриан Пирсер,Carian Piercer,Perceur carien,Carian Piercer,Carian Piercer
4460,Scholar Armament,学者の武装,学者装备,학자 무기,Ученое вооружение,Bewaffnung der Gelehrten,Armement érudit,Armamento erudito,Armamento Acadêmico
4470,Scholar Shield,学者の盾,学者之盾,학자의 방패,Ученый Щит,Gelehrtenschild,Bouclier érudit,Escudo erudito,Escudo Acadêmico
4480,Lucidity,明晰さ,明朗,맑음,Ясность,Klarheit,Lucidité,Lucidez,Lucidez
4490,Frozen Armament,冷凍兵器,冰冻武装,얼어붙은 무기,Ледяное вооружение,Gefrorene Bewaffnung,Armement gelé,Armamento congelado,Armamento Congelado
4500,Shattering Crystal,シャタリング・クリスタル,破碎水晶,부서지는 수정,Разрушающийся кристалл,Zerbrechender Kristall,Cristal brisé,Cristal destrozado,Cristal Quebrando
4510,Crystal Release,クリスタルリリース,水晶释放,크리스탈 출시,Стихия Кристалла,Kristallfreisetzung,Libération de cristaux,Liberación de cristal,Liberação de Cristal
4520,Crystal Torrent,クリスタルトレント,水晶洪流,크리스탈 토렌트,Кристалл Торрент,Kristall-Torrent,Torrent de cristal,Torrente de cristal,Torrente de Cristal
4600,Ambush Shard,待ち伏せシャード,伏击碎片,매복 파편,Осколок засады,Hinterhaltsplitter,Éclat d'embuscade,Fragmento de emboscada,Fragmento de Emboscada
4610,Night Shard,ナイトシャード,暗夜碎片,나이트샤드,Ночной осколок,Nachtsplitter,Éclat de nuit,Fragmento nocturno,Fragmento Noturno
4620,Night Comet,夜の彗星,夜间彗星,밤혜성,Ночная комета,Nachtkomet,Comète nocturne,cometa nocturno,Cometa da Noite
4630,Thops Barrier,ホップスバリア,托普斯屏障,탑스 배리어,Топс Барьер,Thops-Barriere,Barrière de Thops,Barrera de Thops,Barreira de Thops
4640,Carian Retaliation  Used,カリアン報復が使用される,使用卡里安报复,카리안 보복 사용,Карийское возмездие использовано,Karische Vergeltung eingesetzt,Représailles cariennes utilisées,Represalias carianas utilizadas,Retaliação Carian usada
4641,Carian Retaliation  Unused,カリアン報復 未使用,卡里安报复未使用,카리안 보복 미사용,Карийское возмездие не использовано,Karische Vergeltung unbenutzt,Représailles cariennes inutilisées,Represalias carianas sin usar,Retaliação Carian não utilizada
4642,Carian Retaliation 2  Unused,カリアン報復 2 未使用,卡里安报复 2 未使用,카리안 보복 2 미사용,Карийское возмездие 2 Неиспользовано,Carian Retaliation 2 Unbenutzt,Carian Retaliation 2 Inutilisé,Represalias Carian 2 Sin usar,Retaliação Carian 2 Não Utilizada
4650,Eternal Darkness,永遠の闇,永恒的黑暗,영원한 어둠,Вечная тьма,Ewige Dunkelheit,L'obscurité éternelle,Oscuridad eterna,Escuridão eterna
4660,Unseen Blade,見えざる刃,看不见的刀片,보이지 않는 칼날,Невидимый клинок,Unsichtbare Klinge,Lame invisible,Hoja invisible,Lâmina Invisível
4670,Unseen Form,見えない形,看不见的形式,보이지 않는 형태,Невидимая форма,Unsichtbare Form,Forme invisible,Forma invisible,Formulário Invisível
4700,Meteorite,隕石,陨石,운석,Метеорит,Meteorit,Météorite,Meteorito,Meteorito
4701,Meteorite of Astel,アステルの隕石,阿斯特尔陨石,아스텔의 운석,Метеорит Астель,Meteorit von Astel,Météorite d'Astel,Meteorito de Astel,Meteorito de Astel
4710,Rock Sling,ロックスリング,岩石吊索,락 슬링,Рок Слинг,Felsschlinge,Élingue de roche,Honda de roca,Estilingue de pedra
4720,Gravity Well,重力井戸,重力井,중력 우물,Гравитационный колодец,Schwerkraftbrunnen,Puits gravitationnel,Pozo de gravedad,Poço Gravitacional
4721,Collapsing Stars,崩壊する星,坍缩的星星,무너지는 별들,Коллапсирующие звезды,Zusammenbrechende Sterne,Étoiles qui s'effondrent,Estrellas colapsando,Estrelas em colapso
4800,Magma Shot,マグマショット,岩浆射击,마그마 샷,Магмовый выстрел,Magmaschuss,Tir de magma,Disparo de magma,Tiro de magma
4810,Gelmir Fury,ゲルミア・フューリー,格尔米尔·弗瑞,겔미르 퓨리,Гельмир Фьюри,Gelmir Fury,Fureur de Gelmir,Furia Gelmir,Fúria de Gelmir
4820,Roiling Magma,ローリングマグマ,翻腾的岩浆,휘몰아치는 마그마,Бурлящая магма,Brodelndes Magma,Magma bouillonnant,Magma turbulento,Magma Turbulento
4830,Rykard Rancor,ライカード・ランコア,莱卡德·兰科尔,리카드 랭커,Райкард Ранкор,Rykard Rancor,Rykard Rancœur,Rykard Rancor,Rykard Rancor
4900,Briars of Sin,罪の茨,罪恶荆棘,죄악의 장신구,Шипы Греха,Dornen der Sünde,Briars du péché,Zarzas del pecado,Briars do Pecado
4910,Briars of Punishment,懲罰の茨,惩罚荆棘,징벌의 장신구,Шипы наказания,Dornen der Bestrafung,Briars de punition,Zarzas del castigo,Briars de Castigo
5000,Rancorcall,ランコーコール,兰考尔,랜코콜,Злоба,Rancorcall,Appel de rancœur,Rancorllamada,Rancorcall
5001,Ancient Death Rancor,古代の死のランコア,远古死亡怨恨,고대 죽음의 랭커,Древняя Смертельная Злоба,Alter Todes-Rancor,Rancune de la mort antique,Antiguo rencor de muerte,Rancor da Morte Antiga
5010,Explosive Ghostflame,爆発的なゴーストフレイム,爆炸鬼火,폭발적인 유령불꽃,Взрывчатое призрачное пламя,Explosive Geisterflamme,Flamme fantôme explosive,Llama fantasma explosiva,Chama Fantasma Explosiva
5020,Fia Mist,フィアミスト,菲亚薄雾,피아 미스트,Фиа Мист,Fia Mist,Brume Fia,Niebla de Fia,Névoa Fia
5030,Tibia Summons,脛骨召喚,胫骨召唤,경골 소환,Призыв большеберцовой кости,Tibia-Beschwörung,Invocation du tibia,Invocaciones de Tibia,Invocações do Tibia
5040,Death Lightning,デスライトニング,死亡闪电,죽음의 번개,Смертельная молния,Todesblitz,Foudre de la mort,Rayo de la muerte,Relâmpago da Morte
5100,Oracle Bubbles,オラクルバブル,甲骨文泡沫,오라클 버블,Оракул Пузыри,Oracle-Blasen,Bulles Oracle,Burbujas de oráculo,Bolhas Oráculo
5110,Great Oracular Bubble,グレートオラキュラーバブル,伟大的神谕泡沫,그레이트 오라클 버블,Большой пророческий пузырь,Große Orakelblase,Grande bulle oraculaire,Gran Burbuja Oracular,Grande Bolha Oracular
6000,Catch Flame,炎をキャッチ,捕捉火焰,불꽃을 잡아라,Поймать пламя,Flamme fangen,Attraper la flamme,Atrapar la llama,Pegar Chama
6001,O-Flame,オーフレイム,O-火焰,O-플레임,О-Пламя,O-Flamme,O-Flamme,O-llama,O-Chama
6010,Flame Sling,フレイムスリング,火焰吊带,화염 슬링,Пламенная праща,Flammenschleuder,Lance-flammes,Honda de llama,Funda de Chama
6020,Flame Fall Upon Them,彼らに炎が降り注ぐ,火焰落在他们身上,불꽃이 그들 위에 떨어지다,Пламя падает на них,Flammen fallen auf sie,La flamme tombe sur eux,La llama cae sobre ellos,Chama cai sobre eles
6030,Whirl O Flame,ワール・オ・フレイム,火焰旋转,소용돌이 오 불꽃,Вихрь О Пламя,"Wirbel, o Flamme",Tourbillonne Ô Flamme,Gira o llama,Redemoinho O Chama
6040,Flame Cleanse Me,フレイム・クレンズ・ミー,火焰净化我,화염 정화 나를,Пламя очисти меня,Flamme reinigt mich,"Flamme, purifie-moi",Llama límpiame,"Chama, limpe-me"
6050,Flame Grant Me Stength,炎は私に力を与えます,火焰赐予我力量,불꽃은 나에게 힘을 부여합니다,Пламя дарует мне силу,Flamme gib mir Kraft,"Flamme, accorde-moi de la force","Llama, concédeme fuerza",Chama Conceda-me Força
6060,Flame Protect Me,フレイムプロテクトミー,火焰保护我,화염이 나를 보호해줘,Пламя защити меня,Flamme beschütze mich,"Flamme, protège-moi",Llama protégeme,Chama me proteja
6100,GiantsFlame Take Thee,ジャイアンツFlame Take Thee,巨人火焰带你走,거인불꽃이 너를 데려가라,ГигантыПламя возьми тебя,GiantsFlame Nimm Dich,GéantsLa Flamme T'emmène,GigantesLlama te lleva,GiantsFlame te leva
6110,Flame of The Fell God,堕神の炎,堕落之神的火焰,타락한 신의 불꽃,Пламя Павшего Бога,Flamme des gefallenen Gottes,Flamme du Dieu déchu,Llama del dios caído,Chama do Deus Caído
6120,Burn O Flame,バーン・オ・フレイム,燃烧吧火焰,불타오르라,Гори о пламя,"Brenne, o Flamme",Brûle Ô Flamme,Quema o llama,Queime a chama
6210,Black Flame,ブラックフレイム,黑色火焰,검은 불꽃,Черное пламя,Schwarze Flamme,Flamme noire,Flama negra,Chama preta
6220,Surge O Flame,サージ・オ・フレイム,火焰涌动,서지 오 플레임,Всплеск О Пламя,"Woge, o Flamme",Surge Ô Flamme,Oleada o llama,Surto Ó Chama
6230,Scouring BlackFlame,黒炎の精練,精练黑焰,검은불길 수색,Очищающее Черное Пламя,BlackFlame durchkämmen,Récurer la Flamme Noire,Fregando Llama Negra,Lavando BlackFlame
6240,Black Flame Ritual,黒炎の儀式,黑炎仪式,검은 불꽃 의식,Ритуал Черного Пламени,Ritual der schwarzen Flamme,Rituel de la Flamme Noire,Ritual de la Llama Negra,Ritual da Chama Negra
6250,Black Flame Blade,黒炎の刃,黑炎之刃,흑염검,Клинок Черного Пламени,Schwarzflammenklinge,Lame de flamme noire,Hoja de llama negra,Lâmina Chama Negra
6260,Black Flame Protection,ブラックフレームプロテクション,黑焰防护,검은 불꽃 보호,Защита от черного пламени,Schutz vor schwarzen Flammen,Protection contre les flammes noires,Protección de llama negra,Proteção contra Chama Negra
6270,Noble Presence,高貴な存在感,高贵的存在,고귀한 존재,Благородное присутствие,Edle Präsenz,Présence noble,Presencia noble,Nobre Presença
6300,Blood Flame Talons,ブラッド・フレイム・タロン,血焰利爪,피의 불꽃 발톱,Когти кровавого пламени,Blutflammenkrallen,Serres de flammes de sang,Garras de llamas de sangre,Garras de Chama Sanguínea
6310,BloodBoon,ブラッドブーン,血之恩赐,블러드분,КровьБун,BloodBoon,Boon de sang,bendición de sangre,Sangue Boon
6320,Blood Flame Blade,ブラッドフレイムブレード,血焰之刃,피의 불꽃 칼날,Клинок кровавого пламени,Blutflammenklinge,Lame de flamme de sang,Hoja de llama de sangre,Lâmina Chama de Sangue
6330,Barrier of Gold,黄金の障壁,黄金屏障,황금의 장벽,Золотой барьер,Barriere aus Gold,Barrière d'or,Barrera de oro,Barreira de Ouro
6340,Protection of The Erdtree,アードツリーの保護,保护大树,Erdtree의 보호,Защита Эрдтри,Schutz des Erdbaums,Protection de l'Erdtree,Protección del Erdtree,Proteção do Erdtree
6400,Rejection,拒絶,拒绝,배제,Отказ,Ablehnung,Rejet,Rechazo,Rejeição
6410,Wrath of Gold,ゴールドの怒り,黄金之怒,금의 분노,Гнев золота,Zorn aus Gold,La colère de l'or,Ira de oro,Ira de Ouro
6420,Urgent Heal,緊急ヒール,紧急治疗,긴급 치료,Срочное лечение,Dringende Heilung,Guérison urgente,Curación Urgente,Cura Urgente
6421,Heal,癒す,愈合,치유하다,Лечить,Heilen,Guérir,Sanar,Curar
6422,Great Heal,グレートヒール,伟大的治愈,그레이트 힐,Великое исцеление,Große Heilung,Grande guérison,Gran curación,Grande cura
6423,Lord Heal,ロードヒール,治愈之主,주님 치유,Лорд Хил,Herr Heil,Seigneur guéris,señor sanar,Senhor Cura
6424,ErdTree Heal,Erdツリーヒール,厄德树治愈,ErdTree 힐,ЭрдТри Исцеление,ErdTree Heilen,Guérison de l'arbre Erd,Curación del árbol Erd,Cura ErdTree
6430,Blessing Boon,祝福の恩恵,祝福恩惠,축복의 혜택,Благословение,Segen Segen,Bénédiction,Bendición,Bênção
6431,Blessing of The Erdtree,アードツリーの祝福,厄德树的祝福,Erdtree의 축복,Благословение Эрдтри,Segen des Erdbaums,Bénédiction de l'Erdtree,Bendición del Erdtree,Bênção do Erdtree
6440,Cure Poison,キュアポイズン,解毒,독을 치료하다,Вылечить яд,Gift heilen,Guérir le poison,curar el veneno,Curar Veneno
6441,Lord Aid,ロード・エイド,援助之主,주님의 도움,Лорд Эйд,Lord Aid,Seigneur Aide,señor ayuda,Senhor ajuda
6450,Flame Fort,フレイムフォート,火焰堡,불꽃 요새,Пламенный Форт,Flammenfestung,Fort des Flammes,Fuerte de la llama,Forte das Chamas
6460,Magic Fort,マジックフォート,魔法堡垒,매직 포트,Волшебный Форт,Magisches Fort,Fort magique,Fuerte Mágico,Forte Mágico
6470,Lightning Fort,ライトニングフォート,闪电堡,번개 요새,Молния Форт,Blitzfestung,Fort de foudre,Fuerte relámpago,Forte Relâmpago
6480,Divine Fort,ディバインフォート,神堡,신성한 요새,Божественный Форт,Göttliche Festung,Fort Divin,Fuerte Divino,Forte Divino
6490,Lord Divine Fort,ロード・ディバイン・フォート,神堡领主,로드 디바인 포트,Лорд Божественный Форт,Lord Divine Fort,Seigneur Divin Fort,Señor Divino Fuerte,Senhor Divino Forte
6500,Night Maiden Mist,夜乙女のミスト,夜少女雾,밤의 처녀 안개,Ночная дева Туман,Nachtjungfernnebel,Brume de jeune fille nocturne,Niebla de la doncella nocturna,Névoa da Donzela da Noite
6510,Assassin Approach,アサシンアプローチ,刺客方法,암살자 접근,Подход убийцы,Attentäteransatz,Approche assassine,Enfoque asesino,Abordagem Assassina
6520,Shadow Bait,シャドーベイト,暗影诱饵,그림자 미끼,Теневая приманка,Schattenköder,Appât d'ombre,Cebo de sombra,Isca de Sombra
6530,Darkness,暗闇,黑暗,어둠,Тьма,Dunkelheit,Obscurité,Oscuridad,Escuridão
6600,Golden Vow,黄金の誓い,金誓,황금 서약,Золотой обет,Goldenes Gelübde,Vœu d'or,Voto de oro,Voto Dourado
6700,Discus of Light,光のディスカス,光之铁饼,빛의 원반,Дискус Света,Diskus des Lichts,Discus de Lumière,Disco de luz,Disco de Luz
6701,Triple Rings of Light,三重の光の輪,三重光环,삼중 빛의 고리,Тройные кольца света,Dreifache Ringe des Lichts,Triples anneaux de lumière,Anillos triples de luz,Anéis Triplos de Luz
6710,Radagon Rings of Light,ラダゴンの光の輪,拉达贡光环,라다곤 링 오브 라이트,Кольца Света Радагона,Radagon-Ringe des Lichts,Anneaux de lumière Radagon,Anillos de luz de Radagon,Anéis de Luz Radagon
6720,Elden Stars,エルデンスターズ,埃尔登星,엘든 스타즈,Элден Старс,Elden-Sterne,Étoiles anciennes,Estrellas Elden,Estrelas Elden
6730,Law of Regression,回帰の法則,回归定律,회귀의 법칙,Закон регрессии,Gesetz der Regression,Loi de la régression,Ley de regresión,Lei da Regressão
6740,Immutable Shield,不変の盾,不变之盾,불변의 방패,Неизменяемый щит,Unveränderlicher Schild,Bouclier immuable,Escudo inmutable,Escudo Imutável
6750,Litany of Proper Death,適切な死の連祷,适当的死亡连篇,적절한 죽음의 기도문,Литания о надлежащей смерти,Litanei vom richtigen Tod,Litanie de la mort propre,Letanía de la muerte adecuada,Ladainha da Morte Própria
6760,Law of Causality,因果律,因果律,인과의 법칙,Закон причинности,Gesetz der Kausalität,Loi de causalité,Ley de causalidad,Lei da Causalidade
6770,Order Blade,オーダーブレード,订购刀片,블레이드 주문,Заказать клинок,Klinge bestellen,Lame de commande,Ordenar hoja,Lâmina de pedido
6780,Order Healing,オーダーヒーリング,秩序治疗,주문 치유,Заказать исцеление,Heilung anordnen,Ordre de guérison,Orden de curación,Ordem de cura
6800,Bestial Sling,獣のスリング,野兽吊带,야수 슬링,Звериная праща,Bestialische Schlinge,Fronde bestiale,Honda bestial,Funda Bestial
6810,Stone of Gurranq,グランクの石,古兰克之石,구랑크의 돌,Камень Гурранка,Stein von Gurranq,Pierre de Gurranq,Piedra de Gurranq,Pedra de Gurranq
6820,Beast Claw,ビーストクロー,兽爪,짐승의 발톱,Коготь зверя,Bestienklaue,Griffe de bête,Garra de Bestia,Garra da Besta
6830,Gurranqs Beast Claw,グランクスの獣の爪,古兰克斯兽爪,구랑크의 짐승 발톱,Коготь зверя Гурранка,Gurranqs Bestienklaue,Griffe de bête Gurranqs,Garra de Bestia Gurranqs,Garra da Besta de Gurranq
6840,Bestial Vitality,獣のような活力,兽性活力,수간의 활력,Звериная живучесть,Bestialische Vitalität,Vitalité bestiale,Vitalidad bestial,Vitalidade Bestial
6850,Bestial Constitution,獣のような憲法,兽性体质,수간 체질,Звериное телосложение,Bestialische Verfassung,Constitution bestiale,Constitución bestial,Constituição Bestial
6900,Lightning Spear,ライトニングスピア,闪电矛,라이트닝 스피어,Молниеносное копье,Blitzspeer,Lance de foudre,Lanza relámpago,Lança Relâmpago
6910,Ancient Dragon Light Strike,エンシェント・ドラゴン・ライト・ストライク,远古龙光击,고대 드래곤 라이트 스트라이크,Легкий удар древнего дракона,Uralter Drachenlichtschlag,Frappe de lumière du dragon antique,Golpe de luz del dragón antiguo,Golpe de Luz do Dragão Antigo
6920,Lightning Strike,落雷,雷击,번개 충격,Удар молнии,Blitzschlag,Coup de foudre,Rayo,Relâmpago
6921,Frozen Lightning Spear,凍てついた稲妻の槍,冰冻闪电矛,얼어붙은 번개 창,Копье ледяной молнии,Gefrorener Blitzspeer,Lance de foudre gelée,Lanza relámpago congelada,Lança Relâmpago Congelada
6930,Honed Bolt,ホーニングボルト,磨光螺栓,연마된 볼트,Заточенный болт,Geschliffener Bolzen,Boulon aiguisé,Perno pulido,Parafuso afiado
6940,Ancient Dragon Light Spear,古代竜の光槍,远古龙光枪,고대 용의 빛 창,Световое копье древнего дракона,Lichtspeer des alten Drachen,Lance lumineuse du dragon antique,Lanza de luz del dragón antiguo,Lança de Luz do Dragão Antigo
6941,Fortissax Light Spear,フォーティサックス・ライトスピア,Fortissax 轻矛,포티삭스 라이트 스피어,Легкое копье Фортиссакса,Fortissax-Lichtspeer,Lance légère Fortissax,Lanza ligera Fortissax,Lança Leve Fortissax
6950,Lansseax Glaive,ランシークス・グレイブ,兰西克斯战刃,랜식스 글레이브,Ланссекс Глефа,Lansseax Glaive,Glaive de Lansseax,Guja de Lansseax,Lansseax Glaive
6960,Electrify Armament,電撃兵器,电气化武器,전기화 무기,Электрифицировать вооружение,Bewaffnung elektrisieren,Électrifier l'armement,Electrificar armamento,Eletrificar Armamento
6970,Vyke DragonBolt,ヴァイク・ドラゴンボルト,维克龙弩,바이크 드래곤볼트,Вайк Драконий Болт,Vyke DragonBolt,Vyke DragonBolt,Vyke DragónBolt,Vyke Dragon Bolt
6971,DragonBolt Blessing,ドラゴンボルトの祝福,龙箭祝福,드래곤볼트 축복,Благословение Стрелы Дракона,DragonBolt-Segen,Bénédiction de Trait de Dragon,Bendición del rayo del dragón,Bênção do DragonBolt
7000,DragonFire,ドラゴンの火,龙火,드래곤파이어,Огонь дракона,Drachenfeuer,Feu du dragon,Fuego de Dragon,Fogo de dragão
7001,Agheel Flame,アギール・フレイム,阿盖尔·弗雷姆,아그힐 불꽃,Агиль Пламя,Agheel-Flamme,Flamme d'Agheel,Llama Agheel,Chama Agheel
7010,Magma Breath,マグマブレス,岩浆呼吸,마그마 숨결,Магмовое дыхание,Magma-Atem,Souffle de magma,Aliento de magma,Respiração de Magma
7011,Theodorix Magma,セオドリクス・マグマ,西奥多里克斯岩浆,테오도릭스 마그마,Теодорикс Магма,Theodorix Magma,Théodorix Magma,Teodorix Magma,Teodorix Magma
7020,DragonIce,ドラゴンアイス,龙冰,드래곤아이스,ДраконЛед,DragonIce,DragonGlace,DragónHielo,DragãoIce
7021,Borealis Mist,ボレアリスミスト,北欧薄雾,보레알리스 안개,Северный туман,Borealis-Nebel,Brume boréale,Niebla boreal,Névoa Boreal
7030,Rotten Breath,腐った息,腐烂的气息,썩은 숨결,Гнилое дыхание,Fauler Atem,Souffle pourri,Aliento podrido,Hálito Podre
7031,Ekzykes Decay,エクジケスの衰退,埃克齐克斯衰变,엑지케스 부패,Распад Экзикеса,Ekzykes Verfall,Dégradation des Ekzykes,Decaimiento de Ekzykes,Decadência de Ekzykes
7040,GlintStone Breath,グリントストーンブレス,闪石呼吸,글린트스톤 브레스,Дыхание блестящего камня,GlintStone-Atem,Souffle de pierre scintillante,Aliento de piedra brillante,Respiração GlintStone
7041,Smarag Glint Breath,スマラグ グリントブレス,斯玛拉格闪烁呼吸,스마라그 글린트 브레스,Смарагское сверкающее дыхание,Smaragd-Glitzer-Atem,Souffle scintillant de Smarag,Aliento de destello de Smarag,Respiração Cintilante Smarag
7050,Placidusax Ruin,プラシドゥサックス遺跡,普拉西杜萨克斯遗址,플라시두삭스 폐허,Руины Плацидусакса,Placidusax-Ruine,Ruine de Placidusax,Ruina de Placidusax,Ruína Placidusax
7060,DragonClaw,ドラゴンクロー,龙爪,용의 발톱,Драконий коготь,Drachenklaue,Griffe de dragon,Garra de dragón,Garra de dragão
7080,DragonMaw,ドラゴンマウ,龙喉,드래곤아귀,Драконья пасть,Drachenschlund,Gueule de Dragon,dragónmaw,DragonMaw
7090,Greyolls Roar,グレイオールの咆哮,格雷尔咆哮,그레이올스 포효,Рев Грейоллов,Greyolls Gebrüll,Rugissement des Greyolls,Rugido de Greyoll,Rugido de Greyoll
